trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
automatic	high	1	8388608	0	8	24576	345083166	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	39212251	2718667	0	0	0	0
automatic	high	1	8388608	1	8	24576	343257542	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	38690083	2727833	0	0	0	0
automatic	high	1	8388608	2	8	24576	342827542	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	39092875	2621166	0	0	0	0
automatic	high	1	8388608	3	8	24576	345801209	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	40067874	2898875	0	0	0	0
automatic	high	1	8388608	4	8	24576	347034458	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	40219251	2809833	0	0	0	0
automatic	high	1	8388608	5	8	24576	346697208	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	38150376	2548709	0	0	0	0
automatic	high	1	8388608	6	8	24576	342546833	4831838208	22	0	96871744	24628312	72243432	24628312	27094616	2225664	4194304	415	30539776	39128251	2839750	0	0	0	0
automatic	high	3	8388608	0	8	24576	358463833	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	54767416	2648375	0	0	0	0
automatic	high	3	8388608	1	8	24576	357141917	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	53982123	2643333	0	0	0	0
automatic	high	3	8388608	2	8	24576	358761708	4831838208	33	0	145071576	72243136	72828440	23337792	26509608	2931176	4346344	412	30343168	55199958	2846750	0	0	0	0
