variant	pair_sample	order	max_rss_bytes	workload	lanes	jobs	sample	elapsed_ns	checksum	attempts	collections	timeouts	peer_parks	exit_cleanups	pause_ns_total	pause_ns_max	rendezvous_ns_total	rendezvous_ns_max	tranche_bytes	bytes_issued	bytes_reset	bytes_current	minor_cycles	minor_prepare_ns	minor_trace_ns	minor_sweep_ns	minor_post_sweep_ns	full_cycles	full_prepare_ns	full_trace_ns	full_sweep_ns	full_post_sweep_ns	object_batch_calls	object_batch_cells	object_batch_ns_total	object_batch_ns_max	worker_runs	worker_run_ns	worker_run_ns_max	join_wait_ns	join_parks	heap_collections	heap_minor_collections	heap_live_cells	heap_young_cells	heap_young_bytes	last_minor_young_bytes	last_minor_reclaimed_bytes	last_minor_survived_cells	last_minor_survived_bytes	backing_chunks	backing_capacity_slots	backing_live_slots	backing_free_slots	kind
parent	5	1	550879232	object_churn	2	100	0	163700625	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	141283880	835375	2	326764458	163556583	163502915	30	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
parent	6	0	550109184	object_churn	2	100	0	166406958	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	14800	3999998	142404636	758458	2	332372875	166302667	166281123	31	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
candidate	6	1	552206336	object_churn	2	100	0	138551083	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	0	0	0	0	0	400	3999998	99000975	2100500	2	276779374	138454541	138414207	25	0	0	4054034	4051403	518579584	25928960	25928960	0	0	7921	4057856	4055387	2469	zig-js-gc
parent	0	0	1090650112	object_churn	4	100	0	289325291	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	634939398	1728666	4	1154511625	289205375	289135334	54	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	0	1	1091715072	object_churn	4	100	0	172114833	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	241115049	3003417	4	682279375	171977875	171864749	31	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	1	0	1091846144	object_churn	4	100	0	197290792	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	260072705	2605792	4	778173168	197128000	197092291	36	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	1	1	1090846720	object_churn	4	100	0	302989041	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	651811455	2599958	4	1200242167	302801250	302768207	55	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	2	0	1090387968	object_churn	4	100	0	321759625	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	709475504	2030542	4	1276735750	321635959	321578789	58	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	2	1	1092026368	object_churn	4	100	0	169697208	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	233813222	2376916	4	674546790	169560833	169512751	32	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	3	0	1092501504	object_churn	4	100	0	170963416	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	236744132	2346250	4	679599167	170845125	170803252	32	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	3	1	1090322432	object_churn	4	100	0	334160042	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	772071779	2441084	4	1331992250	334006500	333907456	61	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	4	0	1090682880	object_churn	4	100	0	420601334	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	964939206	4933416	4	1665305709	420478500	420389791	74	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	4	1	1092403200	object_churn	4	100	0	279275125	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	355334199	5557708	4	1105752542	279149333	279073464	49	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	5	0	1092468736	object_churn	4	100	0	226622292	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	277565742	2424250	4	870484125	226305291	226229458	42	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	5	1	1090830336	object_churn	4	100	0	448251167	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	1023787918	3334500	4	1780985791	448095792	447775667	81	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	6	0	1090338816	object_churn	4	100	0	307200125	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	29600	7999996	684133633	2513875	4	1221599417	307060459	306995627	56	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
candidate	6	1	1091993600	object_churn	4	100	0	176972333	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	0	0	0	0	0	800	7999996	237269852	2667375	4	694929541	176804792	176781336	33	0	0	8105436	8102805	1037159040	25928960	25928960	0	0	15834	8109312	8106789	2523	zig-js-gc
parent	0	0	2167832576	object_churn	8	100	0	2246402125	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	10742531073	5007417	8	17844035709	2246215875	2245744270	400	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	0	1	2171518976	object_churn	8	100	0	485765750	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	746871196	5332750	8	3810853747	485542708	485453791	88	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	1	0	2170798080	object_churn	8	100	0	476123125	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	717013860	4179375	8	3733675292	475831459	475745586	88	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
parent	1	1	2169061376	object_churn	8	100	0	2451779834	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	12424154764	59429792	8	19554549543	2451606334	2450254703	425	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
parent	2	0	2168356864	object_churn	8	100	0	2228214959	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	10856403154	4678708	8	17702686709	2228087250	2227649679	395	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	2	1	2169978880	object_churn	8	100	0	488855416	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	762314947	4720208	8	3855866415	488532125	487499702	87	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	3	0	2171109376	object_churn	8	100	0	488647166	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	759496577	3630875	8	3851643627	488425000	488370083	90	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
parent	3	1	2169307136	object_churn	8	100	0	2383412417	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	11777331173	5840084	8	18993697418	2383192459	2382818749	423	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
parent	4	0	2167652352	object_churn	8	100	0	2323483834	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	11358456070	5698416	8	18521032083	2323249333	2322890285	414	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	4	1	2171355136	object_churn	8	100	0	501519709	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	751653107	5096000	8	3997344209	501254250	501194038	92	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	5	0	2169733120	object_churn	8	100	0	558528500	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	855777660	6114291	8	4405883749	558299042	558117244	100	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
parent	5	1	2168291328	object_churn	8	100	0	2361035916	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	10631353486	6860125	8	18767433792	2360880375	2360455461	423	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
parent	6	0	2168389632	object_churn	8	100	0	2404213333	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	59200	15999992	11254722114	7478166	8	19068335127	2404035125	2403608213	428	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
candidate	6	1	2171076608	object_churn	8	100	0	546162083	8309369344	0	0	0	0	0	0	0	0	0	1073741824	2074317568	0	2074317568	0	0	0	0	0	0	0	0	0	0	1600	15999992	772898169	4394375	8	4302849668	545918375	545778202	98	0	0	16208240	16205609	2074317952	25928960	25928960	0	0	31660	16212224	16209593	2631	zig-js-gc
