trigger	scenario	tenuring_age	moving	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	moving_minor_collections	moved_cells	moved_bytes	move_failures	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
forced	mixed	1	0	4194304	4	8	24576	337596583	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	46419376	8385708	0	0	0	0
forced	mixed	1	0	4194304	5	8	24576	350284958	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	43868831	6931375	0	0	0	0
forced	mixed	1	0	4194304	6	8	24576	355141875	4831838208	8	0	99099392	3146752	95952640	3146752	0	0	0	0	3392160	0	72057594037927935	169	16318464	45342791	7072833	0	0	0	0
forced	mixed	3	0	4194304	0	8	24576	334022500	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	38864959	5848542	0	0	0	0
forced	mixed	3	0	4194304	1	8	24576	332269625	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	39810583	5827500	0	0	0	0
forced	mixed	3	0	4194304	2	8	24576	339442041	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	41503084	5999917	0	0	0	0
forced	mixed	3	0	4194304	3	8	24576	335418458	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	40981584	6045791	0	0	0	0
forced	mixed	3	0	4194304	4	8	24576	327200584	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	39844375	5867750	0	0	0	0
forced	mixed	3	0	4194304	5	8	24576	333150000	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	41374708	6086291	0	0	0	0
forced	mixed	3	0	4194304	6	8	24576	335240500	4831838208	8	0	104212864	5900160	98312704	0	0	0	0	0	1032096	786688	72057594037927935	139	14352384	42198000	6256208	0	0	0	0
forced	mixed	1	1	4194304	0	8	24576	352487583	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	52193375	8220083	0	0	0	0
forced	mixed	1	1	4194304	1	8	24576	343396000	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	52012500	7953416	0	0	0	0
forced	mixed	1	1	4194304	2	8	24576	342308291	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	51196001	8145292	0	0	0	0
forced	mixed	1	1	4194304	3	8	24576	347471167	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	55144500	8385042	0	0	0	0
forced	mixed	1	1	4194304	4	8	24576	347185333	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	52949709	7742833	0	0	0	0
forced	mixed	1	1	4194304	5	8	24576	340794334	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	49680167	7482542	0	0	0	0
forced	mixed	1	1	4194304	6	8	24576	342337250	4831838208	8	0	99099392	3146752	95952640	3146752	8	24584	3146752	0	3392160	0	72057594037927935	169	16318464	51202083	9132250	0	0	0	0
forced	mixed	3	1	4194304	0	8	24576	345505250	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	45639001	6425042	0	0	0	0
forced	mixed	3	1	4194304	1	8	24576	338958875	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	47829375	6544750	0	0	0	0
forced	mixed	3	1	4194304	2	8	24576	338540208	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	47532665	6329875	0	0	0	0
forced	mixed	3	1	4194304	3	8	24576	341510375	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	47145667	6281958	0	0	0	0
forced	mixed	3	1	4194304	4	8	24576	342936250	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	47224624	6890375	0	0	0	0
forced	mixed	3	1	4194304	5	8	24576	337081500	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	44512374	6326166	0	0	0	0
forced	mixed	3	1	4194304	6	8	24576	344006166	4831838208	8	0	104212864	5900160	98312704	0	8	46095	5900160	0	1032096	786688	72057594037927935	139	14352384	46263543	7193167	0	0	0	0
shared	mixed	1	0	45088768	0	12	8000	923585250	2304000000	3	0	135337728	2016232	133321496	2016232	0	0	0	0	12118632	9850176	5636096	465	48300032	68012499	22977583	3	3	6	0
shared	mixed	1	0	45088768	1	12	8000	961614417	2304000000	3	0	135338104	2016360	133321744	2016360	0	0	0	0	12118384	9849800	5636096	465	48300032	69201499	24268750	3	3	6	0
shared	mixed	1	0	45088768	2	12	8000	974816833	2304000000	3	0	135354864	2017640	133337224	2017640	0	0	0	0	12102904	9833040	5636096	465	48300032	69167959	23955417	3	3	6	0
shared	mixed	1	0	45088768	3	12	8000	921558000	2304000000	3	0	135354000	2273752	133080248	2273752	0	0	0	0	12359880	9833904	5636096	465	48300032	67623293	23413084	3	3	6	0
shared	mixed	1	0	45088768	4	12	8000	908763416	2304000000	3	0	135337728	2015616	133322112	2015616	0	0	0	0	12118016	9850176	5636096	465	48300032	67681625	23247875	3	3	6	0
shared	mixed	1	0	45088768	5	12	8000	911406959	2304000000	3	0	135355368	2017000	133338368	2017000	0	0	0	0	12101760	9832536	5636096	465	48300032	75881042	27865125	3	3	6	0
shared	mixed	1	0	45088768	6	12	8000	920778084	2304000000	3	0	135355112	2015608	133339504	2015608	0	0	0	0	12100624	9832792	5636096	465	48300032	74864917	26545875	3	3	6	0
shared	mixed	3	0	45088768	0	12	8000	945721875	2304000000	3	0	136601064	1714032	134887032	4736	0	0	0	0	10553096	10296136	5636096	455	47644672	67120791	23990166	3	3	6	0
shared	mixed	3	0	45088768	1	12	8000	943433625	2304000000	3	0	136601968	1713928	134888040	4736	0	0	0	0	10552088	10295128	5636096	455	47644672	67027250	25172000	3	3	6	0
shared	mixed	3	0	45088768	2	12	8000	942596375	2304000000	3	0	136600088	1712544	134887544	4240	0	0	0	0	10552584	10296120	5636096	455	47644672	66736875	24223458	3	3	6	0
shared	mixed	3	0	45088768	3	12	8000	939654792	2304000000	3	0	136600840	1713688	134887152	4240	0	0	0	0	10552976	10296512	5636096	455	47644672	65967916	23076833	3	3	6	0
shared	mixed	3	0	45088768	4	12	8000	893274875	2304000000	3	0	136582808	1710896	134871912	4240	0	0	0	0	10568216	10311752	5636096	455	47644672	75635458	31307250	3	3	6	0
shared	mixed	3	0	45088768	5	12	8000	904265000	2304000000	3	0	136600952	1713792	134887160	4240	0	0	0	0	10552968	10296504	5636096	455	47644672	71423625	27704917	3	3	6	0
